"","DEG_names"
"1","evm.TU.utg1925.59"
"2","evm.TU.utg1140.9"
"3","evm.TU.utg3790.21"
"4","evm.TU.utg7149.21"
"5","evm.TU.utg1919.69"
"6","evm.TU.utg888.2"
"7","evm.TU.utg5414.35"
"8","evm.TU.utg5074.12"
"9","evm.TU.utg194.25"
"10","evm.TU.utg47.12"
"11","evm.TU.utg788.53"
"12","evm.TU.utg5074.9"
"13","evm.TU.utg55.33"
"14","evm.TU.utg26219.16"
"15","evm.TU.utg3470.19"
"16","evm.TU.utg788.54"
"17","evm.TU.utg788.56"
"18","evm.TU.utg23901.3"
"19","evm.TU.utg1049.13"
"20","evm.TU.utg418.5"
"21","evm.TU.utg3019.11"
"22","evm.TU.utg788.55"
"23","evm.TU.utg7066.24"
"24","evm.TU.utg567.16"
"25","evm.TU.utg868.112"
"26","evm.TU.utg3470.16"
"27","evm.TU.utg6078.62"
"28","evm.TU.utg203.119"
"29","evm.TU.utg7.74"
"30","evm.TU.utg77.92"
"31","evm.TU.utg1127.40"
"32","evm.TU.utg73.35"
"33","evm.TU.utg30988.13"
"34","evm.TU.utg27.73"
"35","evm.TU.utg203.148"
"36","evm.TU.utg479.104"
"37","evm.TU.utg5074.17"
"38","evm.TU.utg3799.20"
"39","evm.TU.utg26697.9"
"40","utg4155.evm.utg4695.64.path2"
"41","evm.TU.utg1721.53"
"42","evm.TU.utg514.1"
"43","evm.TU.utg750.15"
"44","evm.TU.utg3019.49"
"45","evm.TU.utg3409.15"
"46","evm.TU.utg26517.1"
"47","utg7656.equina_smart_196234.path2"
"48","utg1002.equina_smart_263049.path1"
"49","evm.TU.utg379.32"
"50","evm.TU.utg4155.2"
"51","evm.TU.utg435.70"
"52","evm.TU.utg27.125"
"53","evm.TU.utg3790.36"
"54","evm.TU.utg5815.2"
"55","evm.TU.utg1052.33"
"56","evm.TU.utg890.35"
"57","evm.TU.utg379.22"
"58","evm.TU.utg2487.55"
"59","evm.TU.utg9668.33"
"60","evm.TU.utg5996.10"
"61","evm.TU.utg112.49"
"62","evm.TU.utg5074.11"
"63","evm.TU.utg736.13"
"64","evm.TU.utg1663.34"
"65","evm.TU.utg6459.35"
"66","evm.TU.utg1420.4"
"67","evm.TU.utg382.12"
"68","evm.TU.utg2353.29"
"69","evm.TU.utg4157.34"
"70","evm.TU.utg62.72"
"71","utg77.equina_smart_1078796.path1"
"72","evm.TU.utg172.72"
"73","evm.TU.utg163.76"
"74","utg101.equina_smart_282026.path1"
"75","evm.TU.utg16690.14"
"76","evm.TU.utg1162.1"
"77","evm.TU.utg13.51"
"78","evm.TU.utg217.39"
"79","evm.TU.utg146.22"
"80","utg418.evm.utg6875.9.path3"
"81","evm.TU.utg1694.11.12.13"
"82","evm.TU.utg5367.2"
"83","evm.TU.utg56.43"
"84","evm.TU.utg162.13"
"85","utg9776.equina_smart_1467066.path1"
"86","evm.TU.utg172.82"
"87","evm.TU.utg7.18"
"88","evm.TU.utg1897.43"
"89","tRNAscan-SE.tRNA.utg1005.Pseudo(TGA).1"
"90","evm.TU.utg6272.10"
"91","evm.TU.utg9229.2"
"92","evm.TU.utg181.10"
"93","evm.TU.utg1931.94"
"94","evm.TU.utg379.21"
"95","evm.TU.utg1925.10"
"96","evm.TU.utg3470.20"
"97","evm.TU.utg324.183"
"98","evm.TU.utg2801.36"
"99","evm.TU.utg7931.9"
"100","evm.TU.utg44408.3"
"101","evm.TU.utg6432.13.14"
"102","evm.TU.utg2247.9"
"103","evm.TU.utg577.47"
"104","utg10114.evm.utg6875.9.path2"
"105","evm.TU.utg734.13"
"106","evm.TU.utg420.20"
"107","evm.TU.utg78.54"
"108","evm.TU.utg700.3"
"109","evm.TU.utg597.48"
"110","evm.TU.utg1056.28"
